arg-id,x,y,probability,cluster-id
A17_0,6.2733865,3.1613133,1.0,2
A17_1,5.6871095,2.8743715,1.0,2
A17_2,5.6944757,2.92302,0.0,2
A18_0,4.9424977,4.087667,1.0,2
A18_1,5.074364,3.9927692,1.0,2
A18_2,5.7454357,2.4824638,0.9475644546295594,2
A19_0,4.0589886,5.9489803,0.0,1
A19_1,0.5224857,5.769891,1.0,0
A19_2,5.25053,4.876339,0.0,2
A20_0,1.8499047,6.8186026,0.7154350075122365,1
A20_1,5.5473123,2.7057137,0.760330888384903,2
A20_2,5.435675,4.5868154,1.0,2
A20_3,1.755962,3.5643382,0.0,0
A20_4,3.505049,5.786743,1.0,1
A21_0,2.0629838,6.556058,0.0,1
A21_1,1.3005601,3.6786265,1.0,0
A22_0,1.059655,7.9387593,0.6854201215685289,1
A22_1,1.1370212,7.2336626,0.0,1
A22_2,1.179157,7.8588586,0.5487155432009082,1
A23_0,1.7396526,5.5351095,1.0,0
A23_1,2.263473,4.5717497,0.0,0
A23_2,0.7274705,6.2296915,0.8974187933441053,1
A24_0,0.33659545,6.623301,1.0,1
A24_1,0.33602077,6.511589,1.0,1
A25_0,3.3640866,5.9537463,0.8700586443718257,1
A25_1,1.5659353,5.757516,1.0,0
A25_2,2.5709531,5.218124,0.7725984693490974,0
A26_0,4.1955013,5.2445946,1.0,1
A26_1,0.4677505,5.291283,0.8799816123771965,0
A27_0,5.071546,3.267674,0.33288721537096894,2
A27_1,1.9646556,5.9602127,0.5759159974183663,1
A28_0,1.1177825,8.1335125,0.569752681713555,1
A28_1,1.6297193,7.3315063,1.0,1
A29_0,5.7872925,4.6365733,0.6868545168298783,2
A29_1,1.8093069,4.967116,0.760801812781271,0
A30_0,1.7003725,5.1422095,1.0,0
A30_1,1.7803042,5.104142,1.0,0
A30_2,5.53183,3.2078297,0.0,2
A31_0,2.7462893,6.813066,1.0,1
A31_1,0.7178307,5.3143864,1.0,0
A31_2,1.7465558,4.5343447,0.0,0
A31_3,1.4830762,6.301642,0.9802010687508089,1
A31_4,2.4012682,4.9896936,0.9350645245583783,0
A32_0,0.89909124,7.6353602,0.0,1
A32_1,1.4015012,7.5324345,1.0,1
A32_2,2.247424,6.1935053,1.0,1
A33_0,2.082065,4.19759,1.0,0
A33_1,2.9830008,4.2402325,0.0,0
A33_2,2.578991,7.192088,0.0,1
A34_0,5.8533964,3.170753,1.0,2
A34_1,1.4838153,5.3054996,0.0,0
A34_2,1.4874316,5.1022615,0.5090700017453497,0
A35_0,3.8022082,6.638147,0.0,1
A35_1,3.7831116,7.644892,0.0,1
A35_2,3.281388,7.484399,1.0,1
A35_3,0.6463997,6.459825,1.0,1
A37_0,5.9262624,2.298257,0.0,2
A37_1,3.196443,4.6251597,1.0,0
A37_2,2.5135381,3.988957,0.0,0
A37_3,1.9624333,4.7000694,0.0,0
A38_0,1.491552,3.7971923,0.9812973975274084,0
A38_1,1.6951445,4.340621,0.0,0
A39_0,3.1044185,4.5429997,1.0,0
A39_1,3.8890042,4.987368,0.0,1
A39_2,4.0256686,5.102808,0.5409004516917022,1
A39_3,4.368736,5.4202337,0.4807420425895134,1
A40_0,3.9721644,7.448024,1.0,1
A40_1,3.8306134,7.4902916,1.0,1
A40_2,4.0462856,7.3897586,0.8972198096415702,1
A40_3,4.192319,7.235716,1.0,1
A41_0,3.3510246,4.3507485,0.0,0
A41_1,1.0392057,6.5187187,0.0,1
A41_2,1.3046023,3.7002962,1.0,0
A41_3,1.6907881,5.044374,1.0,0
A42_0,0.8368664,4.753554,0.0,0
A42_1,0.6335094,5.1450367,0.8799816123771965,0
A42_2,2.5002875,5.720204,0.0,1
A42_3,1.5098172,4.1758404,0.0,0
A43_0,1.3585722,6.939924,0.0,1
A43_1,1.4206282,7.0817947,0.0,1
A43_2,2.366014,4.584742,0.0,0
A43_3,5.0457187,3.4299314,1.0,2
A44_0,5.347793,3.6182885,1.0,2
A44_1,0.67577285,4.597317,1.0,0
A44_2,3.1130586,6.5421295,0.8141122554708138,1
A45_0,3.9088316,3.9255524,0.8623850524755756,2
A45_1,0.27946928,5.9206347,0.708623706278083,0
A46_0,5.241751,3.3977826,0.0,2
A46_1,5.330655,2.5085027,0.0,2
A46_2,2.0864303,6.8397985,0.6087199963537664,1
A46_3,1.1890379,3.7374847,1.0,0
A47_0,3.8788278,6.078083,0.0,1
A47_1,3.997657,6.5597787,0.5720843373441779,1
A47_2,3.1627855,7.39871,1.0,1
A48_0,3.2750485,6.241485,0.938929097172923,1
A48_1,4.192808,5.1819973,1.0,1
A48_2,4.0788517,5.3144155,0.7091364337616781,1
A49_0,4.215516,5.2794256,1.0,1
A49_1,4.6875534,5.0503535,0.0,2
A49_2,3.476299,5.516833,0.0,1
A50_0,6.0367403,2.8774304,0.709637734278204,2
A50_1,1.9717808,6.2373266,0.0,1
A50_2,1.5824634,5.8647265,0.9708772894196732,1
A51_0,1.3900656,7.8661585,0.5743140094634567,1
A51_1,2.8065126,5.9408627,1.0,1
A51_2,4.4888816,6.9458,1.0,1
A52_0,5.9756036,4.236472,1.0,2
A52_1,4.2172565,3.7472608,1.0,2
A52_2,3.6442547,5.9162674,0.8902045784410834,1
A53_0,6.1430154,3.9566507,0.7937665092717437,2
A53_1,3.9416285,4.2313333,0.7095587273308288,2
A54_0,5.673298,2.7484872,0.9153325760793483,2
A54_1,5.607823,2.5103137,0.6129262338025012,2
A54_2,5.914,2.6179914,0.0,2
A55_0,4.079368,5.7227397,1.0,1
A55_1,4.2511706,5.622961,1.0,1
A55_2,4.2842917,5.4980316,1.0,1
A56_0,3.0075698,4.6306105,0.6911599108293646,0
A56_1,1.2932843,5.489002,0.7611558238544477,0
A57_0,3.4915357,5.195231,0.0,1
